avg_kl,token_id,gloss_with_replacement,part_of_speech
0.0,5157409,wet,adj
0.0,5141033,do,v
0.281121031052498,5124661,think,v
0.0,5132862,clothing,n
0.0,5165632,sit,v
0.46351379680721194,5157454,water,n
2.1878586815274574,5108303,here,adv
0.0,5132882,store,n
0.0952144739935232,5100119,get,v
0.8935360424566424,5141079,mean,v
0.281121031052498,5124700,think,v
0.25106526369917503,5198433,place,n
0.0,5173862,pope,n
0.12968560152411956,5108331,go,v
0.0,5173873,pope,n
0.0,5100148,quick,adv
0.526696461135569,5124735,just,adv
0.0,5091968,lot,n
0.0,5198466,visited,v
0.4455946160742501,5190281,bushes,n
0.5941261547656673,5157514,wash,v
0.0,5141133,powder,n
0.0,5124751,need,v
0.6238324625039512,5100186,there,adv
0.0,5157531,dishes,n
0.281121031052498,5124778,think,v
0.0,5092012,bubbles,n
0.0,5198509,vacation,n
0.4757639386943956,5108402,see,v
0.3443810106972932,5132979,open,adj
0.0,5198520,house,n
0.4455946160742501,5190335,bushes,n
0.693147180559945,5100227,scrub,n
0.0,5132997,people,n
0.0,5124809,need,v
0.0,5165772,giraffe,n
0.0,5182160,sing,v
0.7232840144973348,5133025,come,v
0.281121031052498,5124834,think,v
0.0,5173987,song,n
0.0,5157608,has,v
0.0,5133039,buy,n
0.89231255637598,5174000,says,v
